"","Island_Name","RasterAddress_1km","DepthBin_5m","Depth_m_mn","Longitude_mn","Latitude_mn","Longitude_ras","Latitude_ras","AreaSurveyed_m2_sum","PercentLiveCoralCover_mean","PercentLiveCoralCover_sd","PercentLiveCoralCover_N","PctCoralUnbleached_mean","PctCoralUnbleached_sd","PctCoralUnbleached_N","PctCoralPartialBleached_mean","PctCoralPartialBleached_sd","PctCoralPartialBleached_N","PctCoralFullyBleached_mean","PctCoralFullyBleached_sd","PctCoralFullyBleached_N","PctAffected_mean","PctAffected_sd","PctAffected_N"
"1","Hawaii",35008,"(10,15]",10.636966812768,-155.89708235,20.1465357198444,-155.896544490426,20.14492797,2210.4,17.5,NA,2,60.195,0.275771644662754,2,20.48,13.4633131137919,2,19.325,13.1875414691291,2,39.805,0.275771644662754,2
"2","Hawaii",35008,"(5,10]",9.700001120412,-155.89681275,20.1465357198444,-155.896544490426,20.143157235,3504.4,25,7.07106781186548,2,55,14.142135623731,2,27.5,10.6066017177982,2,17.5,3.53553390593274,2,45,14.142135623731,2
"3","Hawaii",35243,"(10,15]",10.546452670584,-155.89553515,20.1375105058366,-155.896544490426,20.140252335,3240.9,18.75,12.3743686707646,2,53.75,1.76776695296637,2,33.75,1.76776695296637,2,12.5,3.53553390593274,2,46.25,1.76776695296637,2
"4","Hawaii",35243,"(5,10]",9.758097323244,-155.89420635,20.1375105058366,-155.896544490426,20.137036415,7780.7,25,7.35980072193987,4,57.625,7.05189099934668,4,36.25,3.22748612183951,4,6.125,4.25,4,42.375,7.05189099934668,4
"5","Hawaii",35478,"(5,10]",9.590937759672,-155.892466,20.1284852918288,-155.896544490426,20.1325657,2064.5,35,NA,1,57.5,NA,1,32.5,NA,1,10,NA,1,42.5,NA,1
"6","Hawaii",35714,"(5,10]",7.89985000698,-155.888179216667,20.119460077821,-155.887530491702,20.11923185,12743.1,37.9166666666667,11.3376217376779,6,50.8333333333333,9.44281031614353,6,32.5,5.47722557505166,6,16.6666666666667,5.40061724867322,6,49.1666666666667,9.44281031614353,6
"7","Hawaii",35949,"(5,10]",8.93827974114,-155.884882925,20.1104348638132,-155.887530491702,20.112501175,7440.2,38.75,4.33012701892219,4,50.625,11.25,4,31.25,9.24211375534118,4,18.125,5.54338945652086,4,49.375,11.25,4
"8","Hawaii",36184,"(10,15]",11.035793406912,-155.8840706,20.1014096498054,-155.887530491702,20.10587233,2076.1,25,NA,1,48.5,NA,1,45,NA,1,6.5,NA,1,51.5,NA,1
"9","Hawaii",36185,"(5,10]",9.202708580328,-155.8807294,20.1014096498054,-155.878516492979,20.101723108,11037.2,33.5,4.18330013267038,5,53.4,2.32916293977042,5,41,2.85043856274784,5,5.6,1.78185296812055,5,46.6,2.32916293977042,5
"10","Hawaii",36420,"(10,15]",10.668,-155.87549,20.0923844357977,-155.878516492979,20.09202,20,NA,NA,1,49.09,NA,1,14.55,NA,1,36.36,NA,1,50.91,NA,1
"11","Hawaii",36420,"(5,10]",9.144500244624,-155.8770398,20.0923844357977,-155.878516492979,20.095082405,8372.1,23.125,3.14576434802948,4,50,4.56435464587638,4,40.625,2.39356776939085,4,9.375,2.39356776939085,4,50,4.56435464587638,4
"12","Hawaii",36656,"(10,15]",10.558590144912,-155.86861165,20.0833592217899,-155.869502494255,20.082332665,5071,37.5,10.6066017177982,2,41.25,1.76776695296637,2,40,3.53553390593274,2,18.75,5.30330085889911,2,58.75,1.76776695296637,2
"13","Hawaii",36656,"(5,10]",9.455258319576,-155.869607,20.0833592217899,-155.869502494255,20.0840715866667,8501.3,40,4.33012701892219,3,47.5,6.61437827766148,3,35.8333333333333,8.0363756341608,3,16.6666666666667,2.88675134594813,3,52.5,6.61437827766148,3
