"","Island_Name","RasterAddress_250m","DepthBin_5m","Depth_m_mn","Longitude_mn","Latitude_mn","Longitude_ras","Latitude_ras","AreaSurveyed_m2_sum","PercentLiveCoralCover_mean","PercentLiveCoralCover_sd","PercentLiveCoralCover_N","PctCoralUnbleached_mean","PctCoralUnbleached_sd","PctCoralUnbleached_N","PctCoralPartialBleached_mean","PctCoralPartialBleached_sd","PctCoralPartialBleached_N","PctCoralFullyBleached_mean","PctCoralFullyBleached_sd","PctCoralFullyBleached_N","PctAffected_mean","PctAffected_sd","PctAffected_N"
"1","Hawaii",560806,"(10,15]",10.605933625536,-155.8972047,NA,NA,20.14571594,2194.3,17.5,NA,1,60,NA,1,30,NA,1,10,NA,1,40,NA,1
"2","Hawaii",561747,"(10,15]",10.668,-155.89696,NA,NA,20.14414,16.1,NA,NA,1,60.39,NA,1,10.96,NA,1,28.65,NA,1,39.61,NA,1
"3","Hawaii",561747,"(5,10]",9.700001120412,-155.89681275,NA,NA,20.143157235,3504.4,25,7.07106781186548,2,55,14.142135623731,2,27.5,10.6066017177982,2,17.5,3.53553390593274,2,45,14.142135623731,2
"4","Hawaii",562689,"(10,15]",10.56500029008,-155.8962418,NA,NA,20.14135004,1392,27.5,NA,1,55,NA,1,35,NA,1,10,NA,1,45,NA,1
"5","Hawaii",562689,"(5,10]",9.65690026224,-155.8958805,NA,NA,20.14018811,1382.6,20,NA,1,47.5,NA,1,40,NA,1,12.5,NA,1,52.5,NA,1
"6","Hawaii",563630,"(10,15]",10.527905051088,-155.8948285,NA,NA,20.13915463,1848.9,10,NA,1,52.5,NA,1,32.5,NA,1,15,NA,1,47.5,NA,1
"7","Hawaii",564572,"(5,10]",9.424353195204,-155.89377945,NA,NA,20.13684704,4201.1,23.75,8.83883476483184,2,61,3.53553390593274,2,35,3.53553390593274,2,4,0,2,39,3.53553390593274,2
"8","Hawaii",565513,"(5,10]",9.952389158688,-155.893386,NA,NA,20.13426347,2197,32.5,NA,1,61,NA,1,35,NA,1,4,NA,1,39,NA,1
"9","Hawaii",566454,"(5,10]",9.590937759672,-155.892466,NA,NA,20.1325657,2064.5,35,NA,1,57.5,NA,1,32.5,NA,1,10,NA,1,42.5,NA,1
"10","Hawaii",570219,"(5,10]",7.709608893432,-155.8906466,NA,NA,20.12280433,2389.2,27.5,NA,1,62.5,NA,1,25,NA,1,12.5,NA,1,37.5,NA,1
"11","Hawaii",571161,"(5,10]",8.475625224744,-155.8889393,NA,NA,20.12107909,2906.3,42.5,NA,1,52.5,NA,1,27.5,NA,1,20,NA,1,47.5,NA,1
"12","Hawaii",572102,"(5,10]",8.002646528844,-155.88798435,NA,NA,20.118989635,3467.3,36.25,12.3743686707646,2,53.75,5.30330085889911,2,33.75,1.76776695296637,2,12.5,3.53553390593274,2,46.25,5.30330085889911,2
